Zeta Zeros,#FF00FF
0.5,889.735294294
0.5,890.813132113
0.5,892.386433260
0.5,893.119117567
0.5,894.886292321
0.5,895.397919675
0.5,896.632251556
0.5,899.221522668
0.5,899.858884608
0.5,900.849739861
0.5,902.243207587
0.5,903.099674443
0.5,904.702902722
0.5,905.829940758
0.5,907.656729469
0.5,908.333543645
0.5,910.186334057
0.5,911.234951486
0.5,912.331045600
0.5,912.823999247
0.5,914.730096958
0.5,916.355000809
0.5,917.825377570
0.5,918.836535244
0.5,919.448344440
0.5,921.156395507
0.5,922.500629307
0.5,923.285719802
0.5,924.773483933
0.5,926.551552785
0.5,927.850858986
0.5,928.663659329
0.5,929.874092851
0.5,931.009211337
0.5,931.852740746
0.5,934.385306837
0.5,934.995424864
0.5,936.228649379
0.5,937.532925712
0.5,939.024300899
0.5,939.660940615
0.5,941.156999642
0.5,942.052341643
0.5,944.188035810
0.5,945.333562503
0.5,946.765842205
0.5,947.079183096
0.5,948.346646255
0.5,950.151612685
0.5,951.033248734
0.5,952.727988620
0.5,954.129719270
0.5,954.829308938
0.5,956.675479343
0.5,957.510052596
0.5,958.414593390
0.5,959.459168807
0.5,961.669572474
0.5,963.182086671
0.5,963.567040192
0.5,965.055579624
0.5,966.110754818
0.5,967.371153766
0.5,968.636301906
0.5,970.125610557
0.5,971.071491486
0.5,973.185361294
0.5,973.873078993
0.5,974.774635066
0.5,976.178502421
0.5,976.917202117
0.5,978.766671535
0.5,980.578000640
0.5,981.288615302
0.5,982.396485169
0.5,983.575076006
0.5,985.186928656
0.5,986.130515110
0.5,986.756008408
0.5,988.992622371
0.5,990.223917804
0.5,991.374294148
0.5,992.728696337
0.5,993.214580957
0.5,994.404590571
0.5,996.205336164
0.5,997.511934752
0.5,998.827547137
0.5,999.791571557
0.5,1001.349482638
0.5,1002.404305488
0.5,1003.267808179
0.5,1004.675044121
0.5,1005.543420304
0.5,1008.006704307
0.5,1008.795709901
0.5,1009.806590747
0.5,1010.569757011
0.5,1012.410042516
0.5,1013.058638098
0.5,1014.689632622
0.5,1016.060178943
0.5,1017.266402364
0.5,1018.605572519
0.5,1019.912439744
0.5,1020.917475017
0.5,1021.544344500
0.5,1022.885270912
0.5,1025.265724198
0.5,1025.707944371
0.5,1027.467693516
0.5,1028.128964255
0.5,1029.227297444
