index, F0 Tr.x, F0 Tr.y, F1 Tr.x, F1 Tr.y, F2 Tr.x, F2 Tr.y, F3 Tr.x, F3 Tr.y, F4 Tr.x, F4 Tr.y
0.1601, 0.45232,-0.28492, 0.42115,-0.17591, 0.41494,-0.16123, 0.41222,-0.15516, 0.41070,-0.15183
0.1651, 0.45751,-0.27278, 0.42654,-0.16775, 0.42046,-0.15331, 0.41781,-0.14732, 0.41632,-0.14403
0.1701, 0.46251,-0.26086, 0.43185,-0.15960, 0.42590,-0.14538, 0.42330,-0.13947, 0.42185,-0.13622
0.1751, 0.46734,-0.24915, 0.43706,-0.15144, 0.43125,-0.13745, 0.42872,-0.13161, 0.42730,-0.12839
0.1801, 0.47202,-0.23764, 0.44219,-0.14330, 0.43651,-0.12951, 0.43405,-0.12374, 0.43268,-0.12056
0.1851, 0.47656,-0.22633, 0.44724,-0.13516, 0.44171,-0.12157, 0.43931,-0.11587, 0.43798,-0.11271
0.1901, 0.48096,-0.21519, 0.45222,-0.12702, 0.44683,-0.11363, 0.44451,-0.10799, 0.44321,-0.10486
0.1951, 0.48525,-0.20423, 0.45713,-0.11889, 0.45189,-0.10568, 0.44964,-0.10010, 0.44838,-0.09700
0.2001, 0.48944,-0.19342, 0.46198,-0.11077, 0.45690,-0.09774, 0.45471,-0.09221, 0.45350,-0.08913
0.2051, 0.49353,-0.18277, 0.46677,-0.10266, 0.46184,-0.08979, 0.45973,-0.08431, 0.45856,-0.08126
0.2101, 0.49754,-0.17227, 0.47151,-0.09456, 0.46674,-0.08185, 0.46470,-0.07642, 0.46357,-0.07339
0.2151, 0.50147,-0.16190, 0.47620,-0.08647, 0.47159,-0.07390, 0.46963,-0.06852, 0.46855,-0.06551
0.2201, 0.50533,-0.15167, 0.48084,-0.07838, 0.47641,-0.06596, 0.47452,-0.06062, 0.47348,-0.05764
0.2251, 0.50913,-0.14156, 0.48545,-0.07031, 0.48118,-0.05802, 0.47938,-0.05273, 0.47838,-0.04976
0.2301, 0.51288,-0.13157, 0.49002,-0.06225, 0.48593,-0.05009, 0.48421,-0.04483, 0.48326,-0.04188
0.2351, 0.51658,-0.12169, 0.49457,-0.05419, 0.49066,-0.04216, 0.48901,-0.03693, 0.48811,-0.03400
0.2401, 0.52025,-0.11192, 0.49910,-0.04615, 0.49536,-0.03423, 0.49380,-0.02904, 0.49294,-0.02612
0.2451, 0.52389,-0.10224, 0.50360,-0.03811, 0.50005,-0.02631, 0.49857,-0.02115, 0.49777,-0.01824
0.2501, 0.52751,-0.09267, 0.50809,-0.03009, 0.50472,-0.01839, 0.50333,-0.01326, 0.50258,-0.01037
0.2551, 0.53110,-0.08318, 0.51258,-0.02208, 0.50940,-0.01048, 0.50809,-0.00538, 0.50739,-0.00250
0.2601, 0.53469,-0.07379, 0.51706,-0.01408, 0.51407,-0.00257, 0.51285,0.00250, 0.51220,0.00537
0.2651, 0.53827,-0.06447, 0.52154,-0.00609, 0.51874,0.00533, 0.51761,0.01038, 0.51701,0.01324
0.2701, 0.54185,-0.05523, 0.52602,0.00189, 0.52342,0.01322, 0.52239,0.01825, 0.52184,0.02110
