index, F0 Ag.x, F0 Ag.y, F1 Ag.x, F1 Ag.y, F2 Ag.x, F2 Ag.y, F3 Ag.x, F3 Ag.y, F4 Ag.x, F4 Ag.y
0.0801, NaN,NaN, 0.67194,-1.24439, 0.62336,-1.05424, 0.59927,-0.98702, 0.58538,-0.95254
0.0851, NaN,NaN, 0.58455,-1.28775, 0.55269,-1.09295, 0.53414,-1.02373, 0.52301,-0.98816
0.0901, NaN,NaN, 0.49410,-1.32509, 0.47948,-1.12699, 0.46668,-1.05619, 0.45842,-1.01973
0.0951, NaN,NaN, 0.40098,-1.35618, 0.40404,-1.15618, 0.39715,-1.08425, 0.39185,-1.04712
0.1001, NaN,NaN, 0.30564,-1.38079, 0.32669,-1.18037, 0.32585,-1.10777, 0.32358,-1.07018
0.1051, NaN,NaN, 0.20851,-1.39876, 0.24776,-1.19942, 0.25307,-1.12663, 0.25390,-1.08882
0.1101, NaN,NaN, 0.11005,-1.40993, 0.16758,-1.21323, 0.17912,-1.14072, 0.18308,-1.10294
0.1151, NaN,NaN, 0.01075,-1.41417, 0.08651,-1.22169, 0.10430,-1.14998, 0.11141,-1.11247
0.1201, NaN,NaN, -0.08891,-1.41142, 0.00490,-1.22474, 0.02893,-1.15434, 0.03921,-1.11735
0.1251, NaN,NaN, -0.18843,-1.40160, -0.07689,-1.22233, -0.04667,-1.15376, -0.03324,-1.11754
0.1301, NaN,NaN, -0.28732,-1.38472, -0.15849,-1.21445, -0.12217,-1.14822, -0.10563,-1.11303
0.1351, NaN,NaN, -0.38505,-1.36079, -0.23954,-1.20109, -0.19725,-1.13773, -0.17765,-1.10383
0.1401, NaN,NaN, -0.48112,-1.32986, -0.31965,-1.18229, -0.27158,-1.12231, -0.24900,-1.08995
0.1451, NaN,NaN, -0.57502,-1.29203, -0.39848,-1.15811, -0.34484,-1.10201, -0.31937,-1.07145
0.1501, NaN,NaN, -0.66625,-1.24744, -0.47563,-1.12862, -0.41669,-1.07689, -0.38846,-1.04838
0.1551, NaN,NaN, -0.75430,-1.19626, -0.55077,-1.09392, -0.48684,-1.04705, -0.45597,-1.02083
0.1601, NaN,NaN, -0.83869,-1.13869, -0.62352,-1.05414, -0.55495,-1.01260, -0.52162,-0.98890
