index, F0 InfR.x, F0 InfR.y, F1 InfR.x, F1 InfR.y, F2 InfR.x, F2 InfR.y, F3 InfR.x, F3 InfR.y, F4 InfR.x, F4 InfR.y
0.6851, 1.37100,0.24583, 1.37100,0.24583, 1.37100,0.24583, 1.37100,0.24583, 1.37100,0.24583
0.6901, 1.38431,0.23141, 1.38431,0.23141, 1.38431,0.23141, 1.38431,0.23141, 1.38431,0.23141
0.6951, 1.39723,0.21623, 1.39723,0.21623, 1.39723,0.21623, 1.39723,0.21623, 1.39723,0.21623
0.7001, 1.40972,0.20027, 1.40972,0.20027, 1.40972,0.20027, 1.40972,0.20027, 1.40972,0.20027
0.7051, 1.42172,0.18354, 1.42172,0.18354, 1.42172,0.18354, 1.42172,0.18354, 1.42172,0.18354
0.7101, 1.43319,0.16605, 1.43319,0.16605, 1.43319,0.16605, 1.43319,0.16605, 1.43319,0.16605
0.7151, 1.44409,0.14779, 1.44409,0.14779, 1.44409,0.14779, 1.44409,0.14779, 1.44409,0.14779
0.7201, 1.45436,0.12878, 1.45436,0.12878, 1.45436,0.12878, 1.45436,0.12878, 1.45436,0.12878
0.7251, 1.46397,0.10902, 1.46397,0.10902, 1.46397,0.10902, 1.46397,0.10902, 1.46397,0.10902
0.7301, 1.47285,0.08852, 1.47285,0.08852, 1.47285,0.08852, 1.47285,0.08852, 1.47285,0.08852
0.7351, 1.48096,0.06730, 1.48096,0.06730, 1.48096,0.06730, 1.48096,0.06730, 1.48096,0.06730
0.7401, 1.48824,0.04538, 1.48824,0.04538, 1.48824,0.04538, 1.48824,0.04538, 1.48824,0.04538
0.7451, 1.49463,0.02278, 1.49463,0.02278, 1.49463,0.02278, 1.49463,0.02278, 1.49463,0.02278
0.7501, 1.50010,-0.00047, 1.50010,-0.00047, 1.50010,-0.00047, 1.50010,-0.00047, 1.50010,-0.00047
0.7551, 1.50458,-0.02435, 1.50458,-0.02435, 1.50458,-0.02435, 1.50458,-0.02435, 1.50458,-0.02435
0.7601, 1.50801,-0.04883, 1.50801,-0.04883, 1.50801,-0.04883, 1.50801,-0.04883, 1.50801,-0.04883
0.7651, 1.51035,-0.07387, 1.51035,-0.07387, 1.51035,-0.07387, 1.51035,-0.07387, 1.51035,-0.07387
0.7701, 1.51154,-0.09943, 1.51154,-0.09943, 1.51154,-0.09943, 1.51154,-0.09943, 1.51154,-0.09943
0.7751, 1.51152,-0.12546, 1.51152,-0.12546, 1.51152,-0.12546, 1.51152,-0.12546, 1.51152,-0.12546
0.7801, 1.51024,-0.15192, 1.51024,-0.15192, 1.51024,-0.15192, 1.51024,-0.15192, 1.51024,-0.15192
0.7851, 1.50766,-0.17875, 1.50766,-0.17875, 1.50766,-0.17875, 1.50766,-0.17875, 1.50766,-0.17875
0.7901, 1.50372,-0.20590, 1.50372,-0.20590, 1.50372,-0.20590, 1.50372,-0.20590, 1.50372,-0.20590
0.7951, 1.49836,-0.23330, 1.49836,-0.23330, 1.49836,-0.23330, 1.49836,-0.23330, 1.49836,-0.23330
0.8001, 1.49155,-0.26090, 1.49155,-0.26090, 1.49155,-0.26090, 1.49155,-0.26090, 1.49155,-0.26090
0.8051, 1.48324,-0.28861, 1.48324,-0.28861, 1.48324,-0.28861, 1.48324,-0.28861, 1.48324,-0.28861
0.8101, 1.47339,-0.31636, 1.47339,-0.31636, 1.47339,-0.31636, 1.47339,-0.31636, 1.47339,-0.31636
0.8151, 1.46195,-0.34407, 1.46195,-0.34407, 1.46195,-0.34407, 1.46195,-0.34407, 1.46195,-0.34407
0.8201, 1.44890,-0.37166, 1.44890,-0.37166, 1.44890,-0.37166, 1.44890,-0.37166, 1.44890,-0.37166
0.8251, 1.43419,-0.39904, 1.43419,-0.39904, 1.43419,-0.39904, 1.43419,-0.39904, 1.43419,-0.39904
0.8301, 1.41781,-0.42611, 1.41781,-0.42611, 1.41781,-0.42611, 1.41781,-0.42611, 1.41781,-0.42611
0.8351, 1.39972,-0.45278, 1.39972,-0.45278, 1.39972,-0.45278, 1.39972,-0.45278, 1.39972,-0.45278
0.8401, 1.37992,-0.47893, 1.37992,-0.47893, 1.37992,-0.47893, 1.37992,-0.47893, 1.37992,-0.47893
0.8451, 1.35838,-0.50447, 1.35838,-0.50447, 1.35838,-0.50447, 1.35838,-0.50447, 1.35838,-0.50447
0.8501, 1.33510,-0.52928, 1.33510,-0.52928, 1.33510,-0.52928, 1.33510,-0.52928, 1.33510,-0.52928
0.8551, 1.31008,-0.55325, 1.31008,-0.55325, 1.31008,-0.55325, 1.31008,-0.55325, 1.31008,-0.55325
0.8601, 1.28333,-0.57627, 1.28333,-0.57627, 1.28333,-0.57627, 1.28333,-0.57627, 1.28333,-0.57627
0.8651, 1.25487,-0.59820, 1.25487,-0.59820, 1.25487,-0.59820, 1.25487,-0.59820, 1.25487,-0.59820
0.8701, 1.22470,-0.61893, 1.22470,-0.61893, 1.22470,-0.61893, 1.22470,-0.61893, 1.22470,-0.61893
0.8751, 1.19287,-0.63832, 1.19287,-0.63832, 1.19287,-0.63832, 1.19287,-0.63832, 1.19287,-0.63832
0.8801, 1.15941,-0.65626, 1.15941,-0.65626, 1.15941,-0.65626, 1.15941,-0.65626, 1.15941,-0.65626
0.8851, 1.12436,-0.67262, 1.12436,-0.67262, 1.12436,-0.67262, 1.12436,-0.67262, 1.12436,-0.67262
0.8901, 1.08779,-0.68725, 1.08779,-0.68725, 1.08779,-0.68725, 1.08779,-0.68725, 1.08779,-0.68725
0.8951, 1.04977,-0.70004, 1.04977,-0.70004, 1.04977,-0.70004, 1.04977,-0.70004, 1.04977,-0.70004
0.9001, 1.01036,-0.71085, 1.01036,-0.71085, 1.01036,-0.71085, 1.01036,-0.71085, 1.01036,-0.71085
0.9051, 0.96966,-0.71956, 0.96966,-0.71956, 0.96966,-0.71956, 0.96966,-0.71956, 0.96966,-0.71956
0.9101, 0.92777,-0.72604, 0.92777,-0.72604, 0.92777,-0.72604, 0.92777,-0.72604, 0.92777,-0.72604
0.9151, 0.88479,-0.73016, 0.88479,-0.73016, 0.88479,-0.73016, 0.88479,-0.73016, 0.88479,-0.73016
0.9201, 0.84084,-0.73181, 0.84084,-0.73181, 0.84084,-0.73181, 0.84084,-0.73181, 0.84084,-0.73181
0.9251, 0.79605,-0.73087, 0.79605,-0.73087, 0.79605,-0.73087, 0.79605,-0.73087, 0.79605,-0.73087
0.9301, 0.75057,-0.72723, 0.75057,-0.72723, 0.75057,-0.72723, 0.75057,-0.72723, 0.75057,-0.72723
0.9351, 0.70456,-0.72078, 0.70456,-0.72078, 0.70456,-0.72078, 0.70456,-0.72078, 0.70456,-0.72078
0.9401, 0.65816,-0.71144, 0.65816,-0.71144, 0.65816,-0.71144, 0.65816,-0.71144, 0.65816,-0.71144
0.9451, 0.61157,-0.69911, 0.61157,-0.69911, 0.61157,-0.69911, 0.61157,-0.69911, 0.61157,-0.69911
0.9501, 0.56496,-0.68371, 0.56496,-0.68371, 0.56496,-0.68371, 0.56496,-0.68371, 0.56496,-0.68371
0.9551, 0.51854,-0.66517, 0.51854,-0.66517, 0.51854,-0.66517, 0.51854,-0.66517, 0.51854,-0.66517
0.9601, 0.47250,-0.64344, 0.47250,-0.64344, 0.47250,-0.64344, 0.47250,-0.64344, 0.47250,-0.64344
0.9651, 0.42707,-0.61848, 0.42707,-0.61848, 0.42707,-0.61848, 0.42707,-0.61848, 0.42707,-0.61848
0.9701, 0.38247,-0.59025, 0.38247,-0.59025, 0.38247,-0.59025, 0.38247,-0.59025, 0.38247,-0.59025
0.9751, 0.33893,-0.55874, 0.33893,-0.55874, 0.33893,-0.55874, 0.33893,-0.55874, 0.33893,-0.55874
0.9801, 0.29670,-0.52395, 0.29670,-0.52395, 0.29670,-0.52395, 0.29670,-0.52395, 0.29670,-0.52395
0.9851, 0.25601,-0.48589, 0.25601,-0.48589, 0.25601,-0.48589, 0.25601,-0.48589, 0.25601,-0.48589
0.9901, 0.21712,-0.44460, 0.21712,-0.44460, 0.21712,-0.44460, 0.21712,-0.44460, 0.21712,-0.44460
0.9951, 0.18029,-0.40014, 0.18029,-0.40014, 0.18029,-0.40014, 0.18029,-0.40014, 0.18029,-0.40014
