index, F0 Tg.x, F0 Tg.y, F1 Tg.x, F1 Tg.y, F2 Tg.x, F2 Tg.y, F3 Tg.x, F3 Tg.y, F4 Tg.x, F4 Tg.y
0.2301, -0.36373,0.34965, -0.47822,0.18777, -0.49304,0.15390, -0.49880,0.13876, -0.50184,0.13014
0.2351, -0.37834,0.32453, -0.48170,0.16235, -0.49469,0.12843, -0.49964,0.11327, -0.50223,0.10463
0.2401, -0.39135,0.29916, -0.48395,0.13721, -0.49514,0.10332, -0.49931,0.08818, -0.50146,0.07956
0.2451, -0.40277,0.27365, -0.48501,0.11239, -0.49443,0.07863, -0.49784,0.06354, -0.49955,0.05496
0.2501, -0.41265,0.24806, -0.48492,0.08794, -0.49262,0.05439, -0.49528,0.03940, -0.49657,0.03087
0.2551, -0.42103,0.22248, -0.48372,0.06391, -0.48976,0.03065, -0.49169,0.01579, -0.49256,0.00734
0.2601, -0.42795,0.19698, -0.48146,0.04034, -0.48588,0.00744, -0.48710,-0.00725, -0.48758,-0.01561
0.2651, -0.43346,0.17163, -0.47819,0.01725, -0.48105,-0.01521, -0.48158,-0.02970, -0.48168,-0.03794
0.2701, -0.43759,0.14649, -0.47395,-0.00530, -0.47530,-0.03727, -0.47517,-0.05152, -0.47489,-0.05963
0.2751, -0.44041,0.12162, -0.46879,-0.02730, -0.46869,-0.05870, -0.46793,-0.07270, -0.46729,-0.08066
0.2801, -0.44194,0.09708, -0.46275,-0.04872, -0.46126,-0.07950, -0.45989,-0.09321, -0.45891,-0.10101
0.2851, -0.44226,0.07291, -0.45588,-0.06953, -0.45307,-0.09963, -0.45111,-0.11304, -0.44980,-0.12066
0.2901, -0.44140,0.04917, -0.44823,-0.08970, -0.44415,-0.11909, -0.44164,-0.13217, -0.44002,-0.13960
0.2951, -0.43942,0.02590, -0.43984,-0.10923, -0.43456,-0.13785, -0.43152,-0.15059, -0.42960,-0.15782
0.3001, -0.43636,0.00314, -0.43076,-0.12809, -0.42434,-0.15591, -0.42081,-0.16829, -0.41860,-0.17531
0.3051, -0.43229,-0.01908, -0.42104,-0.14628, -0.41354,-0.17326, -0.40953,-0.18526, -0.40706,-0.19206
0.3101, -0.42724,-0.04073, -0.41070,-0.16378, -0.40220,-0.18989, -0.39775,-0.20149, -0.39503,-0.20807
0.3151, -0.42129,-0.06176, -0.39981,-0.18057, -0.39036,-0.20580, -0.38550,-0.21699, -0.38254,-0.22334
0.3201, -0.41446,-0.08217, -0.38840,-0.19667, -0.37807,-0.22098, -0.37282,-0.23176, -0.36964,-0.23786
0.3251, -0.40682,-0.10193, -0.37651,-0.21205, -0.36536,-0.23543, -0.35975,-0.24579, -0.35637,-0.25165
0.3301, -0.39841,-0.12101, -0.36419,-0.22672, -0.35227,-0.24916, -0.34633,-0.25909, -0.34277,-0.26470
0.3351, -0.38929,-0.13941, -0.35146,-0.24069, -0.33885,-0.26217, -0.33261,-0.27166, -0.32888,-0.27702
0.3401, -0.37950,-0.15710, -0.33838,-0.25394, -0.32513,-0.27446, -0.31861,-0.28351, -0.31472,-0.28862
0.3451, -0.36908,-0.17409, -0.32497,-0.26649, -0.31114,-0.28603, -0.30437,-0.29464, -0.30034,-0.29950
0.3501, -0.35810,-0.19035, -0.31127,-0.27833, -0.29692,-0.29690, -0.28992,-0.30507, -0.28577,-0.30967
0.3551, -0.34658,-0.20589, -0.29732,-0.28947, -0.28250,-0.30708, -0.27530,-0.31481, -0.27103,-0.31915
0.3601, -0.33457,-0.22069, -0.28315,-0.29993, -0.26791,-0.31657, -0.26054,-0.32386, -0.25617,-0.32795
0.3651, -0.32213,-0.23477, -0.26878,-0.30970, -0.25319,-0.32539, -0.24566,-0.33224, -0.24120,-0.33608
0.3701, -0.30928,-0.24811, -0.25426,-0.31881, -0.23835,-0.33354, -0.23069,-0.33995, -0.22616,-0.34355
0.3751, -0.29607,-0.26073, -0.23960,-0.32725, -0.22343,-0.34104, -0.21566,-0.34703, -0.21107,-0.35037
0.3801, -0.28253,-0.27262, -0.22484,-0.33504, -0.20845,-0.34790, -0.20059,-0.35347, -0.19596,-0.35657
0.3851, -0.26871,-0.28379, -0.21000,-0.34219, -0.19344,-0.35414, -0.18551,-0.35929, -0.18084,-0.36215
0.3901, -0.25464,-0.29425, -0.19511,-0.34872, -0.17842,-0.35977, -0.17043,-0.36451, -0.16574,-0.36713
0.3951, -0.24036,-0.30400, -0.18019,-0.35463, -0.16340,-0.36481, -0.15539,-0.36914, -0.15068,-0.37153
0.4001, -0.22589,-0.31306, -0.16526,-0.35995, -0.14842,-0.36926, -0.14039,-0.37320, -0.13567,-0.37537
0.4051, -0.21126,-0.32143, -0.15034,-0.36468, -0.13349,-0.37315, -0.12546,-0.37671, -0.12075,-0.37865
0.4101, -0.19652,-0.32913, -0.13546,-0.36885, -0.11862,-0.37650, -0.11061,-0.37968, -0.10591,-0.38140
0.4151, -0.18168,-0.33617, -0.12063,-0.37246, -0.10384,-0.37931, -0.09586,-0.38212, -0.09118,-0.38364
0.4201, -0.16677,-0.34257, -0.10586,-0.37553, -0.08915,-0.38160, -0.08122,-0.38406, -0.07657,-0.38537
0.4251, -0.15182,-0.34833, -0.09118,-0.37808, -0.07458,-0.38340, -0.06671,-0.38551, -0.06209,-0.38663
0.4301, -0.13685,-0.35347, -0.07660,-0.38013, -0.06014,-0.38471, -0.05233,-0.38649, -0.04776,-0.38741
0.4351, -0.12189,-0.35800, -0.06213,-0.38168, -0.04583,-0.38556, -0.03811,-0.38702, -0.03359,-0.38775
0.4401, -0.10695,-0.36195, -0.04779,-0.38276, -0.03167,-0.38596, -0.02404,-0.38710, -0.01957,-0.38765
0.4451, -0.09206,-0.36533, -0.03359,-0.38338, -0.01767,-0.38592, -0.01014,-0.38676, -0.00574,-0.38714
0.4501, -0.07723,-0.36815, -0.01953,-0.38355, -0.00384,-0.38546, 0.00358,-0.38601, 0.00792,-0.38623
0.4551, -0.06249,-0.37043, -0.00563,-0.38330, 0.00982,-0.38461, 0.01712,-0.38488, 0.02139,-0.38493
0.4601, -0.04784,-0.37219, 0.00810,-0.38264, 0.02329,-0.38336, 0.03047,-0.38336, 0.03466,-0.38326
0.4651, -0.03330,-0.37344, 0.02166,-0.38158, 0.03658,-0.38174, 0.04362,-0.38149, 0.04773,-0.38124
0.4701, -0.01889,-0.37421, 0.03504,-0.38014, 0.04967,-0.37977, 0.05657,-0.37927, 0.06060,-0.37888
0.4751, -0.00462,-0.37450, 0.04823,-0.37834, 0.06256,-0.37746, 0.06932,-0.37672, 0.07327,-0.37619
0.4801, 0.00950,-0.37434, 0.06123,-0.37618, 0.07524,-0.37481, 0.08186,-0.37386, 0.08572,-0.37320
0.4851, 0.02347,-0.37373, 0.07403,-0.37369, 0.08773,-0.37186, 0.09418,-0.37069, 0.09795,-0.36991
0.4901, 0.03726,-0.37271, 0.08663,-0.37088, 0.10000,-0.36861, 0.10630,-0.36723, 0.10997,-0.36634
0.4951, 0.05088,-0.37128, 0.09902,-0.36776, 0.11206,-0.36507, 0.11820,-0.36351, 0.12178,-0.36250
0.5001, 0.06431,-0.36946, 0.11120,-0.36434, 0.12390,-0.36126, 0.12988,-0.35951, 0.13337,-0.35840
0.5051, 0.07755,-0.36726, 0.12318,-0.36065, 0.13553,-0.35720, 0.14135,-0.35527, 0.14474,-0.35406
0.5101, 0.09059,-0.36471, 0.13495,-0.35669, 0.14695,-0.35288, 0.15260,-0.35080, 0.15589,-0.34949
0.5151, 0.10343,-0.36182, 0.14650,-0.35247, 0.15815,-0.34833, 0.16363,-0.34610, 0.16683,-0.34470
0.5201, 0.11607,-0.35859, 0.15784,-0.34801, 0.16914,-0.34356, 0.17445,-0.34118, 0.17755,-0.33970
0.5251, 0.12849,-0.35506, 0.16897,-0.34332, 0.17992,-0.33858, 0.18506,-0.33607, 0.18805,-0.33451
0.5301, 0.14071,-0.35123, 0.17989,-0.33841, 0.19048,-0.33340, 0.19545,-0.33076, 0.19835,-0.32913
0.5351, 0.15271,-0.34711, 0.19060,-0.33329, 0.20083,-0.32803, 0.20564,-0.32527, 0.20843,-0.32357
0.5401, 0.16449,-0.34272, 0.20109,-0.32798, 0.21098,-0.32248, 0.21561,-0.31961, 0.21831,-0.31785
0.5451, 0.17606,-0.33808, 0.21138,-0.32248, 0.22092,-0.31676, 0.22538,-0.31379, 0.22798,-0.31197
