# sigma,T  Arias de Reyna positive-t zeros of f(s); T=indexToImag^-1(t); source Zeros25digits.txt
0.3477763757,146.4303421143
0.4765516325,146.4311595798
0.2157511728,146.4313560192
0.4973369591,146.4324715313
0.4345005397,146.4330496987
0.4575298791,146.4335791421
0.4887417786,146.4343594363
0.4019793544,146.4347461780
0.4228360349,146.4360300003
0.4751044696,146.4367031713
0.7121335751,146.4372593227
0.4266115127,146.4379068605
0.2267569653,146.4384568055
0.6236786694,146.4393114006
0.6417668323,146.4399049713
0.4140383242,146.4411847365
0.4466132279,146.4413526278
0.5497482248,146.4424318418
0.5981112035,146.4430877571
-5.9796603796,146.4433717043
0.5622393316,146.4436124768
0.4185310600,146.4441804559
0.4751604844,146.4454224489
0.5137378426,146.4461536517
0.5589330814,146.4468191268
0.2274441482,146.4473279615
0.4873371584,146.4481262428
0.4261702926,146.4486488811
0.7013204270,146.4494887571
0.4684725603,146.4502468317
-0.4734896934,146.4511433339
0.5912495106,146.4517293033
0.6505260644,146.4522295719
0.4782745099,146.4529392318
0.5287056952,146.4535162166
0.6613421118,146.4542531476
0.6755179150,146.4554056330
0.5531460204,146.4560598568
0.5681096443,146.4566961352
0.2957015116,146.4576508640
-0.9942743353,146.4578587033
0.6069544521,146.4584395773
0.4753931606,146.4589627671
0.0576772500,146.4599799883
0.5214360230,146.4609883582
0.1844541259,146.4613477673
0.7343751242,146.4621822534
0.7748084917,146.4627096829
0.5476487730,146.4638774002
-53.1067391138,146.4637738807
-2.9052301322,146.4639989080
0.3237438476,146.4645379165
0.4673861048,146.4654094953
0.4098120331,146.4663047051
0.3472232505,146.4671881554
-1.0140330265,146.4675412693
0.1656943133,146.4677855393
0.4924669293,146.4684143014
0.5909962127,146.4692021412
0.5229671147,146.4705685601
0.7110159532,146.4710564378
0.6388177926,146.4716493608
0.3598451097,146.4725571036
0.3561427200,146.4731112340
0.3338658494,146.4737225290
-0.3539463963,146.4744480446
0.3450077931,146.4749625262
0.3182981958,146.4758673933
0.3995964945,146.4766611138
0.6434047828,146.4771031800
0.5970850238,146.4778060078
0.5883919250,146.4783208807
0.5647375254,146.4795384204
0.3742924801,146.4801229938
0.6145816077,146.4809451740
0.3564674901,146.4815907741
0.1363374420,146.4819929477
0.4464722698,146.4828572986
0.5418009916,146.4835461814
0.3970295759,146.4838648287
0.4862677015,146.4853741411
-0.2672874723,146.4859880008
-0.0674846901,146.4863401473
0.5484602554,146.4867059185
0.5069438753,146.4876990278
-0.2199121344,146.4881433589
0.3149117133,146.4889427170
0.7012321111,146.4901415001
-0.7780166897,146.4901128000
0.3687339773,146.4908815512
0.7159313003,146.4918957960
0.7086246499,146.4924523320
0.4180422491,146.4930373609
0.6948866834,146.4937760594
0.4945295997,146.4948857022
0.7795612994,146.4956509072
0.6308558339,146.4962807003
0.6228378508,146.4968573225
-8.9830529858,146.4973807541
0.2293734258,146.4977623229
0.4018844239,146.4983502319
0.2783560001,146.4989541531
0.3584971936,146.4997965534
0.5749629763,146.5007892376
0.4069842966,146.5011785069
0.6860662290,146.5020929096
0.6565512937,146.5026442605
0.1748965480,146.5032096168
0.3423347819,146.5049201663
-0.1306807205,146.5047473978
-0.2485295182,146.5053362196
0.4445421785,146.5061812986
-0.0837369309,146.5067865088
0.5009077382,146.5075553608
0.2592318639,146.5081781305
-0.2398343133,146.5089219065
0.2906266348,146.5095182071
0.6135999450,146.5107321907
-62.4984696899,146.5103878010
0.4784548604,146.5112252458
0.6923502011,146.5117995226
-3.9398422105,146.5118236324
0.3762929083,146.5128794512
0.1028949162,146.5133917388
0.0550737165,146.5144523402
0.3805816810,146.5150761289
0.3571349000,146.5154278362
0.3907183964,146.5165548722
0.3780893838,146.5169532458
0.5612107460,146.5176618510
0.5556660691,146.5181510075
0.5189697418,146.5195070366
0.6279652921,146.5201638568
0.3716803943,146.5207348618
0.6054845418,146.5214022541
0.5583186855,146.5221103985
-1.2197032345,146.5225670875
0.2641839267,146.5234540373
0.3542975111,146.5237518214
0.5503108021,146.5248274232
0.2612982876,146.5257852942
0.3517060193,146.5262924143
-0.2548755340,146.5265307942
0.4859128842,146.5272601129
0.3730897326,146.5278552118
0.2699786959,146.5290695867
0.2787442355,146.5297387727
0.6274080224,146.5303083738
0.4524630799,146.5307521053
0.2723184042,146.5317308899
0.6750154583,146.5323521781
0.2084275459,146.5328492999
0.1392889976,146.5337542533
0.4875457130,146.5344001113
0.4917488610,146.5352835920
0.5038632872,146.5359253651
0.6285587442,146.5363801282
0.5946942847,146.5370517920
0.2770662375,146.5379559108
0.2184225127,146.5390139920
0.4218715576,146.5393825435
-0.6787144483,146.5398619847
0.4174451127,146.5405649415
0.3803033794,146.5410916461
0.5061386673,146.5418877440
0.6279690051,146.5424531919
0.7382761912,146.5431570636
0.7890524940,146.5444480058
0.6967351586,146.5450231096
0.5859270618,146.5455583759
0.6989932961,146.5462692257
0.3312360151,146.5468604591
0.7097714754,146.5476589093
0.4893550069,146.5487527911
0.4311809555,146.5493767812
-1.2867578732,146.5497755251
0.2027928543,146.5502664329
0.3474339229,146.5513036450
0.4807148233,146.5514316123
0.3128891926,146.5521638654
-0.1240038381,146.5533336307
0.2207828784,146.5539204574
0.2751128255,146.5548223564
0.4851205521,146.5552539273
-0.6762255553,146.5555652345
0.3490289210,146.5562764597
0.6665708977,146.5571953794
0.4471047506,146.5579326905
0.3762357556,146.5587627891
0.4771940377,146.5596406338
0.6576346145,146.5603492452
-6.4123715690,146.5607176347
